name,vote_count
Avatar Collection,12114.0
Deadpool Collection,11444.0
Guardians of the Galaxy Collection,10014.0
The Dark Knight Collection,9681.0
Mad Max Collection,9629.0
The Avengers Collection,9454.0
Iron Man Collection,8290.333333333334
The Lord of the Rings Collection,8253.0
Captain America Collection,6839.0
Man of Steel Collection,6825.5
The Hunger Games Collection,6543.5
Kingsman Collection,6069.0
Ant-Man Collection,6029.0
Harry Potter Collection,5983.25
The Hobbit Collection,5981.333333333333
Thor Collection,5775.5
World War Z Collection,5683.0
Fantastic Beasts Collection,5612.0
Pirates of the Caribbean Collection,5566.5
The Amazing Spider-Man Collection,5504.0
John Wick Collection,5499.0
Jurassic Park Collection,5475.5
Frozen Collection,5440.0
Despicable Me Collection,5351.0
Star Wars Collection,5344.5
Finding Nemo Collection,5312.5
The Incredibles Collection,5290.0
Prometheus Collection,5152.0
Sherlock Holmes Collection,4927.0
Pacific Rim Collection,4903.0
"Monsters, Inc. Collection",4886.0
Toy Story Collection,4710.0
Wreck-It Ralph Collection,4656.0
X-Men Collection,4593.833333333333
Kill Bill Collection,4576.0
Spider-Man Collection,4505.666666666667
Now You See Me Collection,4498.5
Planet of the Apes (Reboot) Collection,4481.5
The Hangover Collection,4383.666666666667
The Maze Runner Collection,4344.0
The Wolverine Collection,4098.0
James Bond Collection,4065.4
Star Trek: Alternate Reality Collection,3896.3333333333335
300 Collection,3765.0
Jump Street Collection,3763.0
How to Train Your Dragon Collection,3741.0
Men In Black Collection,3708.0
Ted Collection,3667.5
Divergent Collection,3589.6666666666665
The Secret Life of Pets Collection,3536.0
Kick-Ass Collection,3511.0
Transformers Collection,3448.0
Tangled Collection,3419.0
Fifty Shades Collection,3350.0
Taken Collection,3334.5
The Matrix Collection,3327.5
Alice in Wonderland Collection,3277.5
The Lego Movie Collection,3127.0
The Fast and the Furious Collection,3110.4285714285716
We're the Millers Collection,3053.0
Cars Collection,3039.5
Shrek Collection,2910.25
The Bourne Collection,2904.0
TRON Collection,2895.0
RED Collection,2858.0
Fantastic Four Collection,2844.0
Mission: Impossible Collection,2832.0
Die Hard Collection,2820.5
The Terminator Collection,2783.3333333333335
The Twilight Collection,2770.2
Ocean's Collection,2688.6666666666665
Ice Age Collection,2643.8
The Conjuring Collection,2593.5
Wanted - Collection,2583.0
The Expendables Collection,2582.3333333333335
Indiana Jones Collection,2558.0
Independence Day Collection,2550.0
G.I. Joe (Live-Action) Collection,2516.5
The Croods Collection,2447.0
Jack Reacher Collection,2444.5
Robert Langdon Collection,2424.0
Mean Girls Collection,2401.0
RoboCop Collection,2385.0
The Huntsman Collection,2379.0
Night at the Museum Collection,2289.3333333333335
The Mummy Collection,2258.0
Ghostbusters Collection,2203.0
Almighty Collection,2157.5
Pitch Perfect Collection,2153.5
Neighbors Collection,2131.5
American Psycho Collection,2128.0
The Butterfly Effect Collection,2119.0
... Has Fallen Collection,2107.3333333333335
Madagascar Collection,2105.0
Kung Fu Panda Collection,2104.0
Hotel Transylvania Collection,2075.0
Sin City Collection,2034.5
The Chronicles of Narnia Collection,1977.3333333333333
Horrible Bosses Collection,1958.0
The Purge Collection,1954.0
Hellboy Collection,1916.5
Percy Jackson Collection,1882.0
National Treasure Collection,1878.0
Clash of the Titans Collection,1869.5
Darko Collection,1849.0
Tomb Raider Collection,1839.0
Constantine Collection,1837.0
Teenage Mutant Ninja Turtles (Remake) Collection,1830.5
The Chronicles of Riddick Collection,1823.6666666666667
Underworld Collection,1811.0
Grown Ups Collection,1746.0
The Transporter Collection,1724.0
Van Helsing Collection,1674.0
Rio Collection,1605.0
Bad Boys Collection,1588.0
Annabelle Collection,1588.0
The Emperor's New Groove Collection,1544.0
Resident Evil Collection,1538.8
Ghost Rider Collection,1458.5
Mamma Mia! Collection,1435.0
Superman Collection,1429.0
Blade Collection,1416.0
Meet the Parents Collection,1415.6666666666667
Rocky Collection,1410.5
Marley & Me Collection,1392.0
American Pie Collection,1391.3333333333333
Insidious Collection,1390.0
Lilo & Stitch Collection,1371.0
Cloudy with a Chance of Meatballs Collection,1367.5
Grindhouse Collection,1359.0
Atlantis Collection,1257.0
