name,vote_count,vote_average,revenue
Truenorth Productions,7993.0,7.5,2068223624.0
Abu Dhabi Film Commission,4253.0,7.3,1506249360.0
"Colorado Office of Film, Television & Media",4253.0,7.3,1506249360.0
Lightstorm Entertainment,6246.0,6.550000000000001,1408983922.5
Deluxe Digital Studios,7462.0,7.1,1153304495.0
Vita-Ray Dutch Productions (III),7462.0,7.1,1153304495.0
Ian Bryce Productions,3136.0,5.8,1091405097.0
Black Hangar Studios,5111.0,7.4,1056057273.0
Second Mate Productions,5003.5,6.95,1013329906.0
3Foot7,4884.0,7.1,956019788.0
Patalex IV Productions Limited,5758.0,7.5,895921036.0
China Movie Channel,3205.0,6.449999999999999,886867618.0
Danjaq,4552.0,6.3,880674609.0
B24,4552.0,6.3,880674609.0
Cruel & Unusual Films,7189.0,5.7,873260194.0
Québec Production Services Tax Credit,2718.0,6.4,794108405.0
Lucasfilm,3507.1428571428573,6.542857142857143,789851925.5714285
F & F VI Productions A.I.E,5282.0,6.7,788679850.0
The Donners' Company,11444.0,7.4,783112979.0
Bulletproof Cupid,10014.0,7.9,773328629.0
Marvel Studios,7204.0,7.0214285714285705,772579933.9285715
Farewell Productions,4994.0,5.6,769653595.0
Government of Malta,2773.0,6.5,767820459.0
Indochina Productions,4127.0,6.4,765674951.0
Heyday Films,5126.4,7.390000000000001,763302678.6
Illumination Entertainment,3833.3333333333335,6.583333333333332,754624800.6666666
Heineken Branded Entertainment,3500.0,6.7,738599701.0
Stereo D,3830.5,6.15,722869604.0
Fuji Television Network,3614.25,6.275,722034367.625
TSBD Canada Productions,2622.0,5.8,712171856.0
Total Entertainment,2622.0,5.8,712171856.0
TSBD Louisiana,2622.0,5.8,712171856.0
TSBD Productions,2622.0,5.8,712171856.0
Zohar International,2622.0,5.8,712171856.0
SprocketHeads,4113.0,6.6,709709780.0
WingNut Films,5175.3,7.3,707835336.7
Matt Tolmach Productions,4274.0,6.5,705717432.0
Avi Arad Productions,4274.0,6.5,705717432.0
Pixar Animation Studios,4839.428571428572,7.185714285714285,686013136.8571428
Odin,3274.0,7.1,682330139.0
Heyday films,4871.0,7.175000000000001,675456586.5
Lynda Obst Productions,11187.0,8.1,675120017.0
China Film Co.,2123.25,6.4750000000000005,665692405.75
Kinberg Genre,8137.5,6.9,663523883.0
Hasbro Studios,2488.3333333333335,5.8,644513842.6666666
GH Three,3050.0,6.2,624029371.0
Blue Light,3050.0,6.2,624029371.0
Walt Disney Studios Motion Pictures,3207.4,6.539999999999999,613478043.6
Littlestar,1435.0,6.4,609841637.0
Internationale Filmproduktion Richter,1435.0,6.4,609841637.0
Haishang Films,5912.0,7.2,609016565.0
Syncopy,8452.0,7.5,604991260.5
The Saul Zaentz Company,5544.333333333333,7.533333333333334,602367948.6666666
Imprint Entertainment,2862.6666666666665,5.766666666666667,600311811.3333334
One Race Films,2397.0,6.433333333333334,589653001.0
Media Rights Capital (MRC),2325.6666666666665,6.3999999999999995,580337748.6666666
Revolution Sun Studios,3649.0714285714284,6.485714285714285,579696502.9285715
Skylark Productions,2478.0,6.5,562216949.0
Allison Shearmur Productions,3266.3333333333335,7.066666666666667,561604374.0
Mad Hatter Entertainment,3741.0,7.55,552000903.5
Big Primate Pictures,2403.0,6.6,550000000.0
Munich Film Partners & Company (MFP) MI2 Productions,1966.0,5.9,546388105.0
Mark Gordon Productions,2462.0,6.2,544272402.0
Prime Focus,3291.3333333333335,6.333333333333333,543775936.0
22 & Indiana Pictures,4600.0,7.4,542307423.0
Mad Chance Productions,4600.0,7.4,542307423.0
Eon Productions,2685.6666666666665,6.3999999999999995,539035934.3333334
Hong Kong Alpha Motion Pictures Co.,6558.0,7.3,532950503.0
2DUX²,5683.0,6.7,531865000.0
Laura Ziskin Productions,3265.6,6.24,523941788.4
FortyFour Studios,6439.0,7.8,521311860.0
Oriental DreamWorks,1630.0,6.7,521170825.0
Walt Disney Animation Studios,2931.3846153846152,6.930769230769231,515349641.53846157
Alibaba Pictures Group,2955.0,6.85,512900977.5
Helena Productions,2841.0,6.9,497409852.0
Warner Bros. Pictures,3022.3333333333335,6.516666666666666,497048808.5
Marvel Entertainment,5251.375,6.2875,489173268.25
Pit Bull Productions,3121.0,6.4,484572835.0
Dentsu,2536.8571428571427,6.328571428571428,482696044.21428573
Blue Sky Studios,1862.7272727272727,6.354545454545454,479457045.72727275
Theobald Film Productions,3759.0,6.7,474968763.0
LEGO,3127.0,7.5,469160692.0
Hemisphere Media Capital,3179.25,6.300000000000001,468816506.25
DC Entertainment,5153.727272727273,6.636363636363637,460991324.45454544
X3 Canada Productions,3581.0,6.3,459359555.0
XM3 Service,3581.0,6.3,459359555.0
X3US Productions,3581.0,6.3,459359555.0
IFP Westcoast Erste,6324.0,7.2,459270619.0
Pacific Data Images (PDI),2197.714285714286,6.442857142857142,458301131.4285714
Mill Film,5566.0,7.9,457640427.0
C & L,5566.0,7.9,457640427.0
Dawliz,5566.0,7.9,457640427.0
NT2 Productions,1782.0,6.1,457363168.0
Sparkler Entertainment,1782.0,6.1,457363168.0
Beagle Pug Films,2457.0,6.1,450128707.0
"Zanuck Company, The",2542.75,6.175,446307499.75
Impostor Pictures,4745.0,7.9,445435700.0
Motion Picture BETA Produktionsgesellschaft,2938.0,7.3,442824138.0
Bourne Again,2938.0,7.3,442824138.0
CAMERON MACKINTOSH,1925.0,7.2,441809770.0
TC Productions,3047.25,6.375,439382547.5
Blizzard Entertainment,2325.0,6.3,433677183.0
DreamWorks Animation,1867.3333333333333,6.61,433461384.43333334
Imhotep Productions,2258.0,6.0,433013274.0
Twentieth Century Fox Animation,1701.4615384615386,6.338461538461538,428636087.9230769
Temple Hill Entertainment,2858.7272727272725,6.245454545454546,425192005.1818182
Ozumi Films,1668.0,6.3,419651413.0
Propeler,1668.0,6.3,419651413.0
Silverbell Films,1668.0,6.3,419651413.0
Etalon film,3238.0,6.300000000000001,419614478.5
Double Negative,2386.0,5.9,415484914.0
Perfect World (Beijing) Pictures Co.,2386.0,5.9,415484914.0
Darren Star Productions,525.0,6.0,415252786.0
Cloudy Productions,6069.0,7.6,414351546.0
Bad Robot,2902.4615384615386,6.823076923076924,414313552.2307692
Museum Canada Productions,2026.0,5.9,413106170.0
